original_name,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Number of College Seasons,Number of College Teams,Current_Contract,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,ORGANIZATION,SEASON,ROUND_NUMBER,ROUND_PICK,OVERALL_PICK
dereck-lively ii,34,27.0,700.0,77,117,75.0,104.0,2.0,13.0,21,35,72.0,112.0,184,37,17.0,82.0,23.0,92.0,177,1,1,4775640.0,Oklahoma City,Thunder,OKC,Duke,2023,1.0,12.0,12.0
derrick-rose,40,39.0,1168.0,208,436,173.0,332.0,35.0,104.0,146,205,54.0,127.0,181,189,48.0,15.0,107.0,68.0,597,1,1,3196448.0,Chicago,Bulls,CHI,Memphis,2008,1.0,1.0,1.0
derrick-white,34,32.0,1116.0,205,404,148.0,260.0,57.0,144.0,148,182,35.0,104.0,139,148,42.0,49.0,81.0,72.0,615,1,1,18357143.0,San Antonio,Spurs,SAS,Colorado,2017,1.0,29.0,29.0
desmond-bane,141,114.0,4279.0,659,1331,410.0,756.0,249.0,575.0,217,270,137.0,524.0,661,333,132.0,54.0,220.0,306.0,1784,4,1,3845083.0,Boston,Celtics,BOS,Texas Christian,2020,1.0,30.0,30.0
devin-booker,128,94.0,3089.0,445,897,423.0,817.0,22.0,80.0,242,368,267.0,461.0,728,99,80.0,83.0,199.0,291.0,1154,4,1,36016200.0,Phoenix,Suns,PHX,Kentucky,2015,1.0,13.0,13.0
devin-vassell,63,30.0,1216.0,196,413,126.0,245.0,70.0,168.0,67,93,51.0,152.0,203,70,60.0,39.0,35.0,88.0,529,2,1,5887899.0,San Antonio,Spurs,SAS,Florida State,2020,1.0,11.0,11.0
devonte'-graham,142,111.0,4498.0,546,1295,250.0,572.0,296.0,723.0,362,460,62.0,377.0,439,632,197.0,14.0,270.0,237.0,1750,4,1,12100000.0,Atlanta,Hawks,ATL,Kansas,2018,2.0,4.0,34.0
dillon-brooks,109,98.0,3153.0,587,1243,454.0,876.0,133.0,367.0,305,384,174.0,321.0,495,279,96.0,51.0,234.0,320.0,1612,3,1,22627671.0,Houston,Rockets,HOU,Oregon,2017,2.0,15.0,45.0
domantas-sabonis,74,32.0,1971.0,384,608,379.0,594.0,5.0,14.0,229,314,192.0,502.0,694,97,39.0,43.0,151.0,219.0,1002,2,1,30600000.0,Oklahoma City,Thunder,OKC,Gonzaga,2016,1.0,11.0,11.0
donovan-mitchell,65,38.0,1689.0,265,634,167.0,336.0,98.0,298.0,130,165,71.0,198.0,269,145,95.0,20.0,86.0,166.0,758,2,1,33162030.0,Denver,Nuggets,DEN,Louisville,2017,1.0,13.0,13.0
donte-divincenzo,85,12.0,2163.0,303,646,173.0,302.0,130.0,344.0,134,190,93.0,250.0,343,204,79.0,18.0,137.0,151.0,870,3,1,10900000.0,Milwaukee,Bucks,MIL,Villanova,2018,1.0,17.0,17.0
doug-mcdermott,145,145.0,4569.0,1141,2075,867.0,1477.0,274.0,598.0,594,715,281.0,807.0,1088,194,34.0,14.0,321.0,265.0,3150,4,1,13750000.0,Denver,Nuggets,DEN,Creighton,2014,1.0,11.0,11.0
draymond-green,145,66.0,3619.0,543,1163,452.0,911.0,91.0,252.0,340,495,283.0,813.0,1096,425,180.0,116.0,277.0,396.0,1517,4,1,22321429.0,Golden State,Warriors,GSW,Michigan State,2012,2.0,5.0,35.0
dwight-powell,136,105.0,3569.0,515,1110,482.0,996.0,33.0,114.0,402,557,225.0,628.0,853,240,125.0,118.0,283.0,390.0,1465,4,1,4000000.0,Charlotte,Hornets,CHA,Stanford,2014,2.0,15.0,45.0
dylan-windler,128,97.0,3759.0,593,1096,376.0,562.0,217.0,534.0,284,373,209.0,790.0,999,251,128.0,98.0,210.0,306.0,1687,4,1,2019706.0,Cleveland,Cavaliers,CLE,Belmont,2019,1.0,26.0,26.0
bam-adebayo,38,38.0,1145.0,170,284,170.0,284.0,0.0,0.0,154,236,118.0,186.0,304,32,26.0,57.0,64.0,99.0,494,1,1,32600060.0,Miami,Heat,MIA,Kentucky,2017,1.0,14.0,14.0
e.j.-liddell,92,61.0,2430.0,432,900,354.0,671.0,78.0,229.0,356,475,158.0,406.0,564,146,50.0,143.0,153.0,225.0,1298,3,1,1801769.0,New Orleans,Pelicans,NOP,Ohio State,2022,2.0,11.0,41.0
eric-bledsoe,37,35.0,1122.0,144,312,95.0,184.0,49.0,128.0,82,123,19.0,95.0,114,107,52.0,12.0,112.0,82.0,419,1,1,1300000.0,Oklahoma City,Thunder,OKC,Kentucky,2010,1.0,18.0,18.0
eric-gordon,32,32.0,1110.0,184,425,114.0,217.0,70.0,208.0,231,277,23.0,81.0,104,78,42.0,20.0,115.0,69.0,669,1,1,3196448.0,Los Angeles,Clippers,LAC,Indiana,2008,1.0,7.0,7.0
evan-mobley,33,33.0,1120.0,197,341,185.0,301.0,12.0,40.0,134,193,90.0,196.0,286,79,26.0,95.0,74.0,58.0,540,1,1,8882640.0,Cleveland,Cavaliers,CLE,Southern California,2021,1.0,3.0,3.0
franz-wagner,55,55.0,1718.0,237,510,161.0,276.0,76.0,234.0,111,133,44.0,290.0,334,111,69.0,45.0,76.0,130.0,661,2,1,5508720.0,Orlando,Magic,ORL,Michigan,2021,1.0,8.0,8.0
gary-harris,69,67.0,2141.0,345,784,199.0,396.0,146.0,388.0,189,240,67.0,159.0,226,140,108.0,21.0,111.0,141.0,1025,2,1,13000000.0,Chicago,Bulls,CHI,Michigan State,2014,1.0,19.0,19.0
gary-trent jr.,37,37.0,1253.0,177,427,80.0,186.0,97.0,241.0,85,97,31.0,126.0,157,52,43.0,5.0,38.0,62.0,536,1,1,18560000.0,Sacramento,Kings,SAC,Duke,2018,2.0,7.0,37.0
georges-niang,138,126.0,4110.0,849,1697,661.0,1195.0,188.0,502.0,342,448,162.0,552.0,714,421,92.0,67.0,318.0,422.0,2228,4,1,8800000.0,Indiana,Pacers,IND,Iowa State,2016,2.0,20.0,50.0
gordon-hayward,69,69.0,2284.0,298,634,182.0,320.0,116.0,314.0,280,340,118.0,394.0,512,125,88.0,60.0,138.0,142.0,992,2,1,31500000.0,Utah,Jazz,UTA,Butler,2010,1.0,9.0,9.0
gradey-dick,36,36.0,1177.0,174,394,91.0,188.0,83.0,206.0,76,89,40.0,145.0,185,60,52.0,9.0,45.0,76.0,507,1,1,4536720.0,Toronto,Raptors,TOR,Kansas,2023,1.0,13.0,13.0
grant-williams,104,101.0,3003.0,549,1064,519.0,961.0,30.0,103.0,501,661,257.0,421.0,678,219,89.0,160.0,219.0,331.0,1629,3,1,12405000.0,Boston,Celtics,BOS,Tennessee,2019,1.0,22.0,22.0
grayson-allen,142,97.0,3965.0,606,1409,315.0,643.0,291.0,766.0,493,591,76.0,374.0,450,432,147.0,14.0,240.0,297.0,1996,4,1,8925000.0,Utah,Jazz,UTA,Duke,2018,1.0,21.0,21.0
harrison-barnes,75,73.0,2198.0,438,1018,322.0,686.0,116.0,332.0,234,319,149.0,265.0,414,96,68.0,29.0,146.0,140.0,1226,2,1,17000000.0,Golden State,Warriors,GSW,North Carolina,2012,1.0,7.0,7.0
harry-giles,26,6.0,300.0,45,78,45.0,78.0,0.0,0.0,12,24,41.0,59.0,100,9,9.0,17.0,18.0,58.0,102,1,1,2019706.0,Portland,Trail Blazers,POR,Duke,2017,1.0,20.0,20.0
herbert-jones,60,13.0,820.0,121,237,109.0,197.0,12.0,40.0,50,100,46.0,114.0,160,40,28.0,71.0,69.0,113.0,304,2,1,12015150.0,New Orleans,Pelicans,NOP,Alabama,2021,2.0,5.0,35.0
immanuel-quickley,67,27.0,1672.0,193,479,101.0,247.0,92.0,232.0,197,220,18.0,173.0,191,100,43.0,5.0,81.0,114.0,675,2,1,4171548.0,Oklahoma City,Thunder,OKC,Kentucky,2020,1.0,25.0,25.0
isaac-okoro,28,28.0,881.0,125,243,105.0,173.0,20.0,70.0,90,134,53.0,71.0,124,57,26.0,25.0,55.0,76.0,360,1,1,8920795.0,Cleveland,Cavaliers,CLE,Auburn,2020,1.0,5.0,5.0
isaiah-jackson,23,9.0,308.0,22,62,19.0,49.0,3.0,13.0,24,32,11.0,27.0,38,8,9.0,6.0,29.0,38.0,71,1,1,2696280.0,Los Angeles,Lakers,LAL,Kentucky,2021,1.0,22.0,22.0
isaiah-joe,60,59.0,1963.0,280,718,73.0,170.0,207.0,548.0,143,173,35.0,166.0,201,103,88.0,12.0,87.0,112.0,910,2,1,1997238.0,Philadelphia,76ers,PHI,Arkansas,2020,2.0,19.0,49.0
isaiah-livers,119,69.0,2785.0,346,744,182.0,346.0,164.0,398.0,131,153,104.0,349.0,453,110,58.0,62.0,90.0,190.0,987,4,1,1836096.0,Detroit,Pistons,DET,Michigan,2021,2.0,12.0,42.0
isaiah-stewart,122,60.0,2447.0,248,680,128.0,311.0,120.0,369.0,141,178,19.0,114.0,217,236,77.0,32.0,138.0,220.0,757,4,1,5266713.0,Portland,Trail Blazers,POR,Washington,2020,1.0,16.0,16.0
jabari-smith jr.,61,58.0,1777.0,271,509,246.0,425.0,25.0,84.0,200,313,83.0,156.0,501,126,56.0,65.0,183.0,157.0,767,2,1,9326520.0,Houston,Rockets,HOU,Auburn,2022,1.0,3.0,3.0
jabari-walker,59,33.0,1297.0,230,480,171.0,332.0,59.0,148.0,162,207,102.0,321.0,423,54,36.0,34.0,104.0,138.0,681,2,1,1719864.0,Portland,Trail Blazers,POR,Colorado,2022,2.0,27.0,57.0
jaden-ivey,59,46.0,1689.0,292,664,203.0,388.0,89.0,276.0,207,280,43.0,209.0,252,153,50.0,36.0,125.0,102.0,880,2,1,7614480.0,Detroit,Pistons,DET,Purdue,2022,1.0,5.0,5.0
jaden-mcdaniels,31,21.0,963.0,136,336,93.0,209.0,43.0,127.0,87,114,34.0,146.0,180,65,24.0,43.0,100.0,103.0,402,1,1,3901399.0,Los Angeles,Lakers,LAL,Washington,2020,1.0,28.0,28.0
jaden-springer,25,15.0,648.0,106,227,86.0,181.0,20.0,46.0,81,100,26.0,62.0,88,73,30.0,11.0,60.0,51.0,313,1,1,2226240.0,Philadelphia,76ers,PHI,Tennessee,2021,1.0,28.0,28.0
jae-crowder,72,52.0,2174.0,375,762,272.0,468.0,103.0,294.0,196,287,153.0,392.0,545,131,136.0,67.0,74.0,178.0,1049,2,1,2019706.0,Cleveland,Cavaliers,CLE,Marquette,2012,2.0,4.0,34.0
jaime-jaquez jr.,134,126.0,4211.0,676,1422,560.0,1068.0,116.0,354.0,334,453,265.0,577.0,842,262,178.0,67.0,200.0,271.0,1802,4,1,3510600.0,Miami,Heat,MIA,California-Los Angeles,2023,1.0,18.0,18.0
jake-laravia,176,166.0,5196.0,764,1458,666.0,1194.0,98.0,264.0,520,700,404.0,696.0,1100,454,218.0,176.0,388.0,518.0,2146,3,2,3199920.0,Minnesota,Timberwolves,MIN,Wake Forest,2022,1.0,19.0,19.0
jakob-poeltl,70,70.0,1885.0,356,541,356.0,540.0,0.0,1.0,219,362,194.0,363.0,557,93,33.0,119.0,129.0,165.0,931,2,1,19500000.0,Toronto,Raptors,TOR,Utah,2016,1.0,9.0,9.0
jalen-brunson,116,115.0,3349.0,579,1135,402.0,685.0,177.0,450.0,332,405,47.0,238.0,285,432,97.0,1.0,217.0,209.0,1667,3,1,26346666.0,Dallas,Mavericks,DAL,Villanova,2018,2.0,3.0,33.0
jalen-duren,29,29.0,733.0,141,236,141.0,235.0,0.0,1.0,65,104,86.0,150.0,236,37,24.0,61.0,65.0,79.0,347,1,1,4330680.0,Charlotte,Hornets,CHA,Memphis,2022,1.0,13.0,13.0
jalen-hood-schifino,32,32.0,1058.0,168,403,131.0,292.0,37.0,111.0,59,76,14.0,118.0,132,117,26.0,8.0,89.0,78.0,432,1,1,3695040.0,Los Angeles,Lakers,LAL,Indiana,2023,1.0,17.0,17.0
jalen-johnson,246,74.0,4060.0,460,1110,198.0,404.0,262.0,706.0,202,236,164.0,420.0,584,198,106.0,124.0,168.0,318.0,1384,5,3,2925360.0,Atlanta,Hawks,ATL,Duke,2021,1.0,20.0,20.0
jalen-mcdaniels,67,55.0,1870.0,338,670,310.0,576.0,28.0,94.0,182,240,141.0,388.0,529,101,65.0,35.0,118.0,177.0,886,2,1,4516000.0,Charlotte,Hornets,CHA,San Diego,2019,2.0,22.0,52.0
jalen-pickett,288,284.0,10618.0,1676,3690,1190.0,2320.0,486.0,1370.0,576,776,298.0,1262.0,1560,1682,356.0,230.0,612.0,556.0,4414,5,2,1708143.0,Indiana,Pacers,IND,Penn State,2023,2.0,2.0,32.0
jalen-smith,64,64.0,1850.0,313,607,262.0,449.0,51.0,158.0,188,265,189.0,362.0,551,54,36.0,113.0,94.0,138.0,865,2,1,5043773.0,Phoenix,Suns,PHX,Maryland,2020,1.0,10.0,10.0
jalen-suggs,30,30.0,868.0,155,308,120.0,204.0,35.0,104.0,86,114,18.0,142.0,160,136,57.0,10.0,88.0,78.0,431,1,1,7252080.0,Orlando,Magic,ORL,Gonzaga,2021,1.0,5.0,5.0
jalen-williams,168,4.0,1318.0,124,264,124.0,264.0,0.0,0.0,134,194,198.0,246.0,444,44,24.0,74.0,122.0,234.0,382,4,2,4558680.0,Oklahoma City,Thunder,OKC,Santa Clara,2022,1.0,12.0,12.0
jamal-murray,36,36.0,1267.0,244,538,131.0,261.0,113.0,277.0,119,152,53.0,133.0,186,79,35.0,11.0,84.0,75.0,720,1,1,33833400.0,Denver,Nuggets,DEN,Kentucky,2016,1.0,7.0,7.0
james-bouknight,43,30.0,1200.0,226,496,179.0,349.0,47.0,147.0,146,182,67.0,133.0,200,63,38.0,10.0,92.0,102.0,645,2,1,4570080.0,Charlotte,Hornets,CHA,Connecticut,2021,1.0,11.0,11.0
james-harden,69,68.0,2412.0,417,824,315.0,553.0,102.0,271.0,373,494,92.0,282.0,374,258,132.0,30.0,207.0,171.0,1309,2,1,35640000.0,Oklahoma City,Thunder,OKC,Arizona State,2009,1.0,3.0,3.0
james-wiseman,3,3.0,69.0,20,26,20.0,25.0,0.0,1.0,19,27,13.0,19.0,32,1,1.0,9.0,3.0,5.0,59,1,1,12119440.0,Golden State,Warriors,GSW,Memphis,2020,1.0,2.0,2.0
jarace-walker,36,35.0,992.0,158,340,123.0,239.0,35.0,101.0,53,80,82.0,163.0,245,65,35.0,46.0,53.0,74.0,404,1,1,6059520.0,Washington,Wizards,WAS,Houston,2023,1.0,8.0,8.0
jaren-jackson jr.,35,34.0,764.0,119,232,81.0,136.0,38.0,96.0,106,133,52.0,151.0,203,39,21.0,106.0,62.0,112.0,382,1,1,27102202.0,Memphis,Grizzlies,MEM,Michigan State,2018,1.0,4.0,4.0
jarred-vanderbilt,14,0.0,238.0,29,68,29.0,67.0,0.0,1.0,24,38,46.0,64.0,110,14,6.0,11.0,15.0,37.0,82,1,1,4698000.0,Orlando,Magic,ORL,Kentucky,2018,2.0,11.0,41.0
jarrett-allen,33,33.0,1061.0,179,316,179.0,309.0,0.0,7.0,84,149,100.0,178.0,278,27,19.0,51.0,84.0,68.0,442,1,1,20000000.0,Brooklyn,Nets,BKN,Texas,2017,1.0,22.0,22.0
javale-mcgee,66,31.0,1232.0,234,432,218.0,387.0,16.0,45.0,90,175,114.0,200.0,314,23,32.0,122.0,105.0,135.0,574,2,1,4368030.0,Washington,Wizards,WAS,Nevada-Reno,2008,1.0,18.0,18.0
jaxson-hayes,32,21.0,747.0,123,169,123.0,169.0,0.0,0.0,74,100,56.0,104.0,160,9,19.0,71.0,29.0,107.0,320,1,1,2165000.0,Atlanta,Hawks,ATL,Texas,2019,1.0,8.0,8.0
jaylen-brown,34,34.0,939.0,163,378,133.0,276.0,30.0,102.0,142,217,36.0,146.0,182,68,27.0,22.0,105.0,108.0,498,1,1,31830357.0,Boston,Celtics,BOS,California,2016,1.0,3.0,3.0
jaylin-williams,130,82.0,2752.0,449,879,337.0,552.0,112.0,327.0,178,233,150.0,364.0,514,208,85.0,97.0,151.0,248.0,1188,5,1,2000000.0,Oklahoma City,Thunder,OKC,Arkansas,2022,2.0,4.0,34.0
jayson-tatum,29,27.0,966.0,165,365,125.0,248.0,40.0,117.0,118,139,39.0,174.0,213,62,39.0,33.0,76.0,86.0,488,1,1,32600060.0,Boston,Celtics,BOS,Duke,2017,1.0,3.0,3.0
jeff-green,102,102.0,3388.0,485,994,396.0,746.0,89.0,248.0,280,400,217.0,447.0,664,318,92.0,127.0,257.0,254.0,1339,3,1,9600000.0,Boston,Celtics,BOS,Georgetown,2007,1.0,5.0,5.0
jerami-grant,72,29.0,1577.0,187,385,181.0,365.0,6.0,20.0,161,251,124.0,211.0,335,62,43.0,36.0,63.0,129.0,541,2,1,27586207.0,Philadelphia,76ers,PHI,Syracuse,2014,2.0,9.0,39.0
jeremiah-robinson-earl,56,56.0,1875.0,268,561,224.0,415.0,44.0,146.0,139,181,141.0,361.0,502,115,59.0,33.0,108.0,127.0,719,2,1,1900000.0,New York,Knicks,NYK,Villanova,2021,2.0,2.0,32.0
jeremy-sochan,30,1.0,754.0,100,211,76.0,130.0,24.0,81.0,53,90,59.0,132.0,191,53,38.0,21.0,47.0,69.0,277,1,1,5316960.0,San Antonio,Spurs,SAS,Baylor,2022,1.0,9.0,9.0
jericho-sims,119,77.0,2441.0,325,509,325.0,508.0,0.0,1.0,140,267,209.0,434.0,643,49,48.0,93.0,139.0,256.0,790,4,1,1927896.0,New York,Knicks,NYK,Texas,2021,2.0,28.0,58.0
jett-howard,29,29.0,922.0,137,331,59.0,119.0,78.0,212.0,60,75,8.0,74.0,82,59,12.0,19.0,37.0,64.0,412,1,1,5026800.0,Orlando,Magic,ORL,Michigan,2023,1.0,11.0,11.0
jevon-carter,144,112.0,4299.0,587,1441,346.0,763.0,241.0,678.0,343,430,131.0,407.0,538,559,330.0,34.0,264.0,358.0,1758,4,1,6190476.0,Memphis,Grizzlies,MEM,West Virginia,2018,2.0,2.0,32.0
jimmy-butler,106,69.0,3134.0,390,768,354.0,674.0,36.0,94.0,461,596,247.0,332.0,579,180,115.0,50.0,110.0,183.0,1277,3,1,45183960.0,Chicago,Bulls,CHI,Marquette,2011,1.0,30.0,30.0
joe-harris,15,1.0,151.0,19,42,10.0,18.0,9.0,24.0,0,4,9.0,15.0,24,5,3.0,0.0,6.0,10.0,47,1,1,19928571.0,Cleveland,Cavaliers,CLE,Virginia,2014,2.0,3.0,33.0
joel-embiid,28,20.0,647.0,107,171,106.0,166.0,1.0,5.0,98,143,65.0,162.0,227,38,25.0,72.0,66.0,94.0,313,1,1,47607350.0,Philadelphia,76ers,PHI,Kansas,2014,1.0,3.0,3.0
john-collins,64,34.0,1324.0,315,524,315.0,523.0,0.0,1.0,229,314,176.0,270.0,446,24,30.0,75.0,91.0,180.0,859,2,1,25340000.0,Atlanta,Hawks,ATL,Wake Forest,2017,1.0,19.0,19.0
john-wall,37,37.0,1288.0,202,438,165.0,324.0,37.0,114.0,175,232,30.0,129.0,159,241,66.0,19.0,149.0,72.0,616,1,1,6802950.0,Washington,Wizards,WAS,Kentucky,2010,1.0,1.0,1.0
johnny-davis,62,31.0,1813.0,296,687,245.0,530.0,51.0,157.0,187,240,75.0,308.0,383,101,70.0,41.0,105.0,129.0,830,2,1,5050800.0,Washington,Wizards,WAS,Wisconsin,2022,1.0,10.0,10.0
jonathan-isaac,32,32.0,839.0,130,256,99.0,167.0,31.0,89.0,92,118,56.0,195.0,251,37,37.0,49.0,48.0,70.0,383,1,1,17400000.0,Orlando,Magic,ORL,Florida State,2017,1.0,6.0,6.0
jordan-clarkson,186,150.0,5904.0,946,2150,756.0,1560.0,190.0,590.0,784,974,148.0,472.0,620,498,174.0,52.0,508.0,422.0,2866,3,2,23487629.0,Washington,Wizards,WAS,Missouri,2014,2.0,16.0,46.0
jordan-hawkins,64,41.0,1484.0,231,584,95.0,222.0,136.0,362.0,157,180,48.0,145.0,193,61,35.0,28.0,76.0,110.0,755,2,1,4310160.0,New Orleans,Pelicans,NOP,Connecticut,2023,1.0,14.0,14.0
jordan-nwora,93,59.0,2446.0,439,986,261.0,534.0,178.0,452.0,238,303,107.0,454.0,561,95,72.0,23.0,168.0,174.0,1294,3,1,3000000.0,Milwaukee,Bucks,MIL,Louisville,2020,2.0,15.0,45.0
